Ek_Özellikler,Güç_W,Çıkarılabilir_Hazne,Zamanlayıcı,Kapasite,Hazne_Sayısı,Türü,Kontrol_Paneli,price,marka,Renk,Materyal,Yağ
Zamanlayıcı,1350,Var,Var,"2 - 2,9 lt",Tek,Yağsız_Airfryer,Mekanik,1.720,Electrolux,,Plastik,
Zamanlayıcı,1500,Var,Var,"1 - 1,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.530,Tefal,,Plastik,
,1500,Var,,6 lt ve Üzeri,,,,4.399,Robx,,,
LED Ekran,1800,Var,Var,6 lt ve Üzeri,Çift,Yağsız_Airfryer,Dokunmatik,5.499,Cook,,Metal,
Otomatik Kapanma,1100,Var,Var,"1 - 1,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.599,Russell,Siyah,Plastik,
LED Ekran,1800,Var,Var,"2 - 2,9 lt",Tek,Yağlı,Mekanik,7.600,Tefal,,Plastik,
Zamanlayıcı,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,8.289,Philips,Siyah,Plastik,
,1400,Var,,,,Yağsız_Airfryer,,4.900,Zwilling,,,
Zamanlayıcı,2200,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.768,Onvo,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.997,Wiami,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.700,Arnica,,Metal,
,1030,Yok,,,,,,2.000,Filipus,,,
LED Ekran,1500,Yok,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,14.290,Ardes,,,
Isı Ayarı,2000,Yok,Var,,Çift,Yağsız_Airfryer,Dokunmatik,14.990,Ariete,Siyah,Plastik,
LED Ekran,1400,Var,,"5 - 5,9 lt",,,,11.525,Girmi,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.247,Kumtel,,Plastik,
,840,Var,,"3 - 3,9 lt",,,,1.711,Smiling,,,
,2200,Var,,6 lt ve Üzeri,,,,14.789,Philips,,,
Isı Ayarı,1000,Var,Var,"5 - 5,9 lt",Tek,Yağlı,Dokunmatik,14.999,Philips,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,9.999,Philips,,Plastik,
Isı Ayarı,1000,Var,Var,"5 - 5,9 lt",Tek,Yağlı,Dokunmatik,13.300,Philips,,Plastik,
Isı Ayarı,1300,Yok,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,4.999,Grundig,Gri,,
LED Ekran,1500,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,4.600,Aeg,,Plastik,
LED Ekran,2000,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,3.899,Severin,Siyah,,
Isı Ayarı,1300,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.448,Karaca,,Metal,
LED Ekran,1650,Var,Var,"5 - 5,9 lt",,Yağsız_Airfryer,Dokunmatik,8.599,Severın,,Plastik,
Isı Ayarı,2400,Var,,,,,,2.400,Cvs,,,
,2400,Var,,,,,,5.965,Arçelik,,,
Otomatik Kapanma,1200,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.999,Miinto,,Plastik,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.998,Wiami,,Metal,
Isı Ayarı,2500,Yok,,"3 - 3,9 lt",Tek,Yağlı,Mekanik,2.500,Inox,Gri,Metal,
Isı Ayarı,2500,Var,Yok,"3 - 3,9 lt",Tek,Yağlı,Mekanik,3.900,Üret,Gri,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.200,Queen,,Plastik,
LED Ekran,1500,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.750,Rexon,,Plastik,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.098,Vestel,,Metal,
,1650,Var,,,,,,3.429,Sem,,,
LED Ekran,1400,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,4.650,Lura,,Plastik,
Zamanlayıcı,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,9.999,Philips,,Plastik,
LED Ekran,1100,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Mekanik,17.999,Philips,,Plastik,
LED Ekran,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,9.999,Philips,,,
LED Ekran,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,14.999,Philips,,,
Zamanlayıcı,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Mekanik,13.999,Philips,,Plastik,
Zamanlayıcı,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Mekanik,14.999,Philips,,Plastik,
LED Ekran,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,10.999,Philips,,Metal,
Zamanlayıcı,1400,Var,Var,"1 - 1,9 lt",Tek,Yağlı,Mekanik,2.990,Arçelik,Beyaz,Plastik,
Isı Ayarı,1000,Var,Var,"5 - 5,9 lt",Tek,Yağlı,Dokunmatik,13.300,Philips,,Plastik,
LED Ekran,1500,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,4.600,Aeg,,Plastik,
Isı Ayarı,1300,Yok,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,4.999,Grundig,Gri,,
Otomatik Kapanma,2225,Var,Var,6 lt ve Üzeri,,Yağsız_Airfryer,,11.950,Philips,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.898,Beko,,Plastik,
LED Ekran,1450,Var,,,,,,3.087,Wiami,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.477,Taç,,Metal,
LED Ekran,1700,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,3.899,Relux,Gri,Plastik,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.998,Karaca,,Plastik,
Çıkarılabilir Üst Kapak,5000,Var,,6 lt ve Üzeri,Çift,Yağlı,Mekanik,4.541,Remta,Gri,Metal,
Isı Ayarı,1200,Yok,Yok,"5 - 5,9 lt",Tek,Yağlı,Mekanik,2.645,Işıkgaz,Gri,Metal,
LED Ekran,1400,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,4.650,Lura,,Plastik,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.997,Wiami,,Metal,
Isı Ayarı,2500,Var,Yok,"3 - 3,9 lt",Tek,Yağlı,Mekanik,3.900,Üret,Gri,Metal,
Isı Ayarı,1700,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.690,Dalle,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.098,Vestel,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.387,Smart,,Plastik,
,1030,Yok,,,,,,420,Essan,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.700,Arnica,,Metal,
,1030,Yok,,,,,,2.000,Filipus,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.200,Queen,,Plastik,
,1650,Var,,,,,,3.429,Sem,,,
LED Ekran,1500,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.750,Rexon,,Plastik,
LED Ekran,2000,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,3.999,Goldmaster,Gri,Plastik,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.247,Kumtel,,Plastik,
,1350,Var,,"5 - 5,9 lt",,,,4.220,Eco,,,
Çıkarılabilir Üst Kapak,800,Var,,,,,,383,A,,Metal,
,1100,Var,,"1 - 1,9 lt",,,,6.081,Chuangli,,,
,950,Var,,6 lt ve Üzeri,,,,5.448,Lele,,,
Isı Ayarı,1400,Var,Var,,Tek,Yağsız_Airfryer,Mekanik,2.868,Beautiful,,Plastik,
,1150,Var,,"0,9 lt ve Altı",,,,5.734,Chuangli,,,
Çıkarılabilir Üst Kapak,800,Var,,,,,,605,A,,Metal,
,1400,Var,,,,,,3.223,Coco,,,
Isı Ayarı,700,Var,,,,,,1.397,Jimmy,,,
LED Ekran,1350,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,4.769,Shenzhen,,Metal,
Çıkarılabilir Üst Kapak,800,Var,,,,,,380,Tuz,,Metal,
LED Ekran,1000,Var,,,,,,2.381,Zshskj,,,
Çıkarılabilir Üst Kapak,800,Var,,,,,,674,A,,Metal,
LED Ekran,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,18.799,Philips,,Paslanmaz Çelik,
Isı Ayarı,1300,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,1.580,2you,Siyah,Metal,
LED Ekran,2300,Var,Yok,"2 - 2,9 lt",Tek,Yağlı,Mekanik,2.425,HaiTun,,Metal,
Isı Ayarı,1300,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.149,Goldmaster,,,
Zamanlayıcı,1000,Var,Var,"2 - 2,9 lt",Tek,Yağsız_Airfryer,Mekanik,999,Kiwi,,Plastik,
LED Ekran,1250,Yok,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.919,Kumtel,,Metal,
,1500,Var,,"5 - 5,9 lt",,,,3.399,Xiaomi,,,
,1000,Var,,"5 - 5,9 lt",,,,7.000,Miinto,,,
LED Ekran,1800,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,3.499,N8WERK,,Metal,
Isı Ayarı,1700,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,4.416,King,,Metal,
Zamanlayıcı,1600,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.895,Onvo,,Plastik,
LED Ekran,1350,Var,,,,,,3.999,Princess,,,
Isı Ayarı,1000,Var,Var,"5 - 5,9 lt",Tek,Yağlı,Dokunmatik,4.449,Fakir,,Metal,
Isı Ayarı,1700,Var,Var,6 lt ve Üzeri,,Yağsız_Airfryer,Dokunmatik,2.799,Queen,,Metal,
LED Ekran,1700,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,3.899,Relux,Gri,Plastik,
LED Ekran,1500,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,3.199,Korkmaz,,Plastik,
LED Ekran,1600,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,4.499,Kiwi,,Metal,
Isı Ayarı,1000,Var,Var,"5 - 5,9 lt",Tek,Yağlı,Dokunmatik,3.999,Arçelik,,Metal,
Isı Ayarı,1000,Var,Var,"2 - 2,9 lt",Tek,Yağsız_Airfryer,Mekanik,1.540,Conti,,,
LED Ekran,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,4.499,Tefal,Siyah,Plastik,
Çıkarılabilir Üst Kapak,5000,Var,,6 lt ve Üzeri,Çift,Yağlı,Mekanik,4.541,Remta,Gri,Metal,
Isı Ayarı,1200,Yok,Yok,"5 - 5,9 lt",Tek,Yağlı,Mekanik,2.645,Işıkgaz,Gri,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.998,Karaca,,Plastik,
Çıkarılabilir Üst Kapak,2000,Var,,"3 - 3,9 lt",,,,2.999,Grundig,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,3.599,Cosori,,Metal,
"Çıkarılabilir Üst Kapak, Isı Ayarı",1200,Var,,"1 - 1,9 lt",Tek,Yağlı,Mekanik,4.199,AR272,Gri,Metal,
Isı Ayarı,1450,Var,Var,,Tek,Yağsız_Airfryer,Mekanik,1.899,Homend,Krem Rengi - Gold,Plastik,
Isı Ayarı,1500,Var,,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.999,Lesmons,Beyaz,,
Çıkarılabilir Üst Kapak,225,Yok,,"1 - 1,9 lt",,,,2.470,Weichuang,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.998,Kenwood,,Plastik,
Zamanlayıcı,2700,Var,Var,6 lt ve Üzeri,Çift,Yağsız_Airfryer,Dokunmatik,13.999,Tefal,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.097,Kumtel,,Plastik,
Isı Ayarı,900,Var,,"1 - 1,9 lt",,,,7.850,Cecotec,,,
LED Ekran,1500,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,2.790,Trident,Mavi,,
Zamanlayıcı,1000,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.900,Lorenzo,,Metal,
Zamanlayıcı,1700,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,4.990,Eratec,,,
Zamanlayıcı,2000,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,8.689,Xxl,Siyah,Plastik,
Isı Ayarı,1700,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.849,Blaupunkt,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,1.540,Airfryer,,Metal,
LED Ekran,1800,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,5.999,Sk,,Metal,
LED Ekran,1500,Var,,"5 - 5,9 lt",,,,5.103,Gülas,,,
Isı Ayarı,1000,Var,,,,,,5.499,Relux,,,
,1030,Yok,,,,,,648,Essan,,,
Otomatik Kapanma,1650,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,4.749,Russell,Siyah,Plastik,
Zamanlayıcı,1550,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,6.699,Karaca,,,
Çıkarılabilir Üst Kapak,1700,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,8.784,Problack,Gri,Plastik,
LED Ekran,1800,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,8.784,Ariete,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.765,Schafer,,Plastik,
Zamanlayıcı,1650,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,14.999,Tefal,,Paslanmaz Çelik,
Isı Ayarı,1550,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,6.989,Karaca,,Plastik,
LED Ekran,1700,Var,Yok,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.899,Proscenic,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.720,Karaca,,Metal,
Otomatik Kapanma,2225,Var,Var,6 lt ve Üzeri,,Yağsız_Airfryer,,17.999,Philips,,,
Zamanlayıcı,2200,Var,,,,,,3.059,Pierre,,,
LED Ekran,1700,Var,,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,2.949,HİKING,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,1.499,Yasomi,,Metal,
LED Ekran,1800,Var,Var,"5 - 5,9 lt",,Yağsız_Airfryer,Dokunmatik,12.999,Electrolux,,Metal,
Isı Ayarı,1300,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,1.994,Karaca,,Metal,
LED Ekran,1700,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,4.024,Cosori,,,
,1400,Var,,,,,,3.790,Philips,,,
LED Ekran,1700,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,3.699,Goldmaster,Gri,Plastik,
Isı Ayarı,900,Yok,,,,,,123,100,,,
LED Ekran,1400,Var,Yok,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,5.024,Philips,Siyah,Plastik,
Isı Ayarı,1000,Var,,"3 - 3,9 lt",,,,9.199,Girmi,,,
,1000,Var,,"1 - 1,9 lt",,,,7.835,Moulinex,,,
LED Ekran,1700,Var,,6 lt ve Üzeri,,,,11.590,Girmi,,,
Çıkarılabilir Üst Kapak,1800,Var,,"1 - 1,9 lt",,,,14.290,Delonghi,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.499,Fakir,,Plastik,
"Zamanlayıcı, LED Ekran, Çıkarılabilir Üst Kapak, Isı Ayarı",1800,Var,,"2 - 2,9 lt",Tek,Yağlı,Mekanik,19.890,Tefal,Beyaz,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,2.390,Kumtel,,Plastik,
Isı Ayarı,8000,Var,Yok,6 lt ve Üzeri,Çift,Yağlı,Mekanik,20.746,Drn,Gri,Metal,
Isı Ayarı,900,Yok,,,,,,123,100,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,8.125,Philips,,Metal,
,1030,Yok,,,,,,436,EC,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.367,Brands,,Metal,
,1030,Yok,,,,,,648,Essan,,,
Isı Ayarı,1000,Var,,,,,,5.499,Relux,,,
LED Ekran,1500,Var,,"5 - 5,9 lt",,,,5.103,Gülas,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,1.540,Airfryer,,Metal,
LED Ekran,1800,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,5.999,Sk,,Metal,
Otomatik Kapanma,1650,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,4.749,Russell,Siyah,Plastik,
"Zamanlayıcı, LED Ekran, Çıkarılabilir Üst Kapak, Isı Ayarı",1800,Var,,"2 - 2,9 lt",Tek,Yağlı,Mekanik,19.890,Tefal,Beyaz,,
Isı Ayarı,8000,Var,Yok,6 lt ve Üzeri,Çift,Yağlı,Mekanik,20.746,Drn,Gri,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.998,Kenwood,,Plastik,
,1550,Var,,"4 - 4,9 lt",,,,3.299,Homend,,,
Zamanlayıcı,2200,Var,,,,,,3.059,Pierre,,,
LED Ekran,1500,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,2.790,Trident,Mavi,,
LED Ekran,1700,Var,,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,2.949,HİKING,,,
Zamanlayıcı,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Mekanik,14.999,Philips,,Plastik,
Zamanlayıcı,1700,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,4.990,Eratec,,,
LED Ekran,2300,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,10.952,Fritel,Siyah,Metal,
Zamanlayıcı,2000,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,8.689,Xxl,Siyah,Plastik,
Isı Ayarı,1700,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.849,Blaupunkt,,Metal,
Zamanlayıcı,1000,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.900,Lorenzo,,Metal,
Isı Ayarı,1300,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,1.994,Karaca,,Metal,
Isı Ayarı,1650,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Mekanik,1.849,Cvs,,,
LED Ekran,1500,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.199,DN-1005,Siyah,Plastik,
Isı Ayarı,2400,Var,,,,,,2.400,Cvs,,,
LED Ekran,1000,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,2.790,Bambum,Siyah,Plastik,
LED Ekran,1000,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,3.500,Sinbo,,Metal,
,1400,Var,,"3 - 3,9 lt",Tek,,,7.999,Caso,,,
,1700,Var,,"5 - 5,9 lt",,,,5.499,Arow,,,
LED Ekran,1650,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.300,Sem,,,
LED Ekran,1700,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,3.699,Goldmaster,Gri,Plastik,
LED Ekran,1400,Var,Yok,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,5.024,Philips,Siyah,Plastik,
Isı Ayarı,2000,Var,,6 lt ve Üzeri,,,,10.999,Philips,,,
Isı Ayarı,1600,Yok,Var,"2 - 2,9 lt",Tek,Yağlı,Mekanik,1.597,Aksu,,Plastik,
Isı Ayarı,2400,Var,,,,,,7.399,Fakir,,,
LED Ekran,1800,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,3.322,Cvs,,Metal,
,2700,Var,,6 lt ve Üzeri,,,,14.199,Tefal,,,
Isı Ayarı,1200,Var,Yok,6 lt ve Üzeri,Tek,Yağlı,Mekanik,2.975,Remta,,Metal,
Isı Ayarı,1200,Yok,Yok,6 lt ve Üzeri,Çift,Yağlı,Mekanik,5.442,Remta,Gri,Metal,
Zamanlayıcı,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,15.118,Philips,,Plastik,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,4.500,Karaca,,Plastik,
LED Ekran,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,12.999,Philips,,Plastik,
Zamanlayıcı,1800,Var,Yok,"2 - 2,9 lt",Tek,Yağlı,Mekanik,2.470,Stilevs,,Plastik,
Zamanlayıcı,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,5.599,Philips,Siyah,,
Isı Ayarı,2000,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Mekanik,5.990,Kenwood,,,
Isı Ayarı,1500,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,7.199,Xiaomi,,Plastik,
Isı Ayarı,1500,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,7.199,Xiaomi,,Plastik,
Isı Ayarı,2700,Var,Var,"0,9 lt ve Altı",Çift,Yağsız_Airfryer,Dokunmatik,12.499,Tefal,,Plastik,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.398,Pierre,,Metal,
,1700,Var,,"5 - 5,9 lt",,,,6.599,Princess,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.090,Kiwi,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.767,Taç,,Metal,
Isı Ayarı,1500,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.499,Homend,,Plastik,
Isı Ayarı,1300,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,3.999,GoldMaster,,Plastik,
LED Ekran,1400,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,7.890,Klarstein,Kırmızı,Plastik,
Isı Ayarı,900,Var,Yok,"1 - 1,9 lt",Tek,Yağlı,Mekanik,4.890,Premier,,Metal,
Isı Ayarı,3200,Var,Var,,Tek,Yağlı,Mekanik,7.000,Remta,İnox,Metal,
,1400,Var,,6 lt ve Üzeri,,,,4.102,Horizon,,,
LED Ekran,1200,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Mekanik,2.899,Miinto,,Plastik,
LED Ekran,1350,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,10.248,Miinto,,Plastik,
LED Ekran,1350,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.099,Youban,,,
,900,Var,,"1 - 1,9 lt",Tek,,,9.355,Severin,,,
Çıkarılabilir Üst Kapak,840,Var,Yok,,Tek,Yağlı,Mekanik,7.499,Princess,,,
Isı Ayarı,1500,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.499,Proscenic,Siyah,Plastik,
"Zamanlayıcı, LED Ekran, Çıkarılabilir Üst Kapak, Isı Ayarı",2200,Var,,"2 - 2,9 lt",Tek,Yağlı,Mekanik,4.199,Arnica,Gri,Plastik,
Zamanlayıcı,2225,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Mekanik,14.999,Philips,,Plastik,
LED Ekran,1700,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,11.147,Tefal,,Plastik,
Zamanlayıcı,2000,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,12.999,Philips,,Plastik,
,2225,Var,,6 lt ve Üzeri,,,,11.950,Philips,,,
,1500,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,3.175,Grundig,,Metal,
Zamanlayıcı,3000,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,3.680,Xiaomi,,Metal,
LED Ekran,1350,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,10.790,Princess,Siyah,Plastik,
,1900,Var,,"2 - 2,9 lt",Tek,,,9.859,Moulinex,,,
Isı Ayarı,2000,Var,,"3 - 3,9 lt",,,,7.990,Tristar,,,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,5.398,Kumtel,,Plastik,
,1400,Var,,"3 - 3,9 lt",,,,3.566,Konka,,,
,1400,Var,,6 lt ve Üzeri,,,,4.102,Horizon,,,
,900,Var,,"1 - 1,9 lt",Tek,,,9.355,Severin,,,
Çıkarılabilir Üst Kapak,840,Var,Yok,,Tek,Yağlı,Mekanik,7.499,Princess,,,
LED Ekran,1350,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.099,Youban,,,
Zamanlayıcı,1000,Var,Var,"2 - 2,9 lt",Tek,Yağlı,Dokunmatik,2.799,Beko,,Metal,
"Zamanlayıcı, LED Ekran, Çıkarılabilir Üst Kapak, Isı Ayarı",2200,Var,,"2 - 2,9 lt",Tek,Yağlı,Mekanik,4.199,Arnica,Gri,Plastik,
Isı Ayarı,1350,Var,Var,,Tek,Yağsız_Airfryer,Mekanik,1.909,King,Beyaz,,
